"work_year","experience_level","employment_type","job_title","salary","salary_currency","employee_residence","remote_ratio","company_location","company_size"
2025,"Senior-level","FT","Data Scientist",199750,"USD","US","On site","US","M"
2025,"Senior-level","FT","Data Scientist",270000,"USD","US","On site","US","M"
2025,"Intermediate","FT","Data Scientist",172000,"USD","US","On site","US","M"
2025,"Junior","FT","Data Scientist",172000,"USD","US","On site","US","M"
2025,"Intermediate","FT","Data Scientist",98000,"USD","US","On site","US","M"
2025,"Senior-level","FT","Data Scientist",375000,"USD","US","Fully Remote","US","M"
2025,"Senior-level","FT","Data Scientist",110000,"USD","US","On site","US","M"
2025,"Senior-level","FT","Data Scientist",166080,"USD","US","On site","US","M"
2025,"Senior-level","FT","Data Scientist",80000,"USD","US","On site","US","M"
2025,"Intermediate","FT","Data Scientist",115000,"USD","US","Fully Remote","US","M"
2025,"Senior-level","FT","Data Scientist",232900,"USD","US","Fully Remote","US","M"
2025,"Senior-level","FT","Data Scientist",110000,"USD","US","Fully Remote","US","M"
2025,"Senior-level","FT","Data Scientist",268333,"USD","US","On site","US","M"
2025,"Intermediate","FT","Data Scientist",150000,"USD","US","Fully Remote","US","M"
2025,"Senior-level","FT","Data Scientist",162150,"USD","US","On site","US","M"
2025,"Intermediate","FT","Data Scientist",184000,"USD","US","On site","US","L"
2025,"Senior-level","FT","Data Scientist",144200,"USD","US","On site","US","M"
2025,"Senior-level","FT","Data Scientist",160000,"USD","US","On site","US","M"
2025,"Intermediate","FT","Data Scientist",720000,"USD","US","Fully Remote","US","M"
2025,"Senior-level","FT","Data Scientist",160000,"USD","US","Fully Remote","US","M"
2025,"Senior-level","FT","Data Scientist",180000,"USD","US","On site","US","M"
2025,"Intermediate","FT","Data Scientist",110000,"USD","US","On site","US","M"
2025,"Senior-level","FT","Data Scientist",119800,"USD","US","On site","US","M"
2025,"Senior-level","FT","Data Scientist",227700,"USD","US","On site","US","M"
2025,"Intermediate","FT","Data Scientist",246200,"USD","US","On site","US","M"
2025,"Senior-level","FT","Data Scientist",175000,"USD","US","On site","US","M"
2025,"Intermediate","FT","Data Scientist",155300,"USD","US","On site","US","M"
2025,"Senior-level","FT","Data Scientist",160000,"USD","US","Fully Remote","US","M"
2025,"Intermediate","FT","Data Scientist",99336,"USD","US","On site","US","M"
2025,"Intermediate","FT","Data Scientist",220000,"USD","US","On site","US","M"
