work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size
2025,Intermediate,FT,Data Scientist,23000,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,25000,USD,US,Fully Remote,US,M
2025,Intermediate,FT,Data Scientist,25000,USD,US,Fully Remote,US,M
2025,Intermediate,FT,Data Scientist,25000,USD,US,On site,US,M
2025,Senior-level,FT,Data Scientist,28000,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,28000,USD,US,Fully Remote,US,M
2025,Junior,FT,Data Scientist,30900,USD,US,Fully Remote,US,M
2025,Junior,FT,Data Scientist,36000,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,38000,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,38000,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,41926,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,43565,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,44000,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,45046,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,48000,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,48000,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,49978,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,50000,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,50000,USD,US,On site,US,M
2025,Senior-level,FT,Data Scientist,50000,USD,US,On site,US,M
2025,Senior-level,FT,Data Scientist,50000,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,51000,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,52400,USD,US,Fully Remote,US,M
2025,Intermediate,FT,Data Scientist,53165,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,54000,USD,US,On site,US,M
2025,Senior-level,FT,Data Scientist,54142,USD,US,On site,US,M
2025,Senior-level,FT,Data Scientist,54300,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,55000,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,55000,USD,US,Fully Remote,US,M
2025,Intermediate,FT,Data Scientist,55016,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,55200,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,55250,USD,US,Fully Remote,US,M
2025,Intermediate,FT,Data Scientist,55500,USD,US,Fully Remote,US,M
2025,Intermediate,FT,Data Scientist,55500,USD,US,Fully Remote,US,M
2025,Intermediate,FT,Data Scientist,55500,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,55549,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,55549,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,56051,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,56300,USD,US,On site,US,M
2025,Senior-level,FT,Data Scientist,57540,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,57797,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,57850,USD,US,Fully Remote,US,M
2025,Senior-level,FT,Data Scientist,58844,USD,US,On site,US,M
2025,Senior-level,FT,Data Scientist,58844,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,59600,USD,US,On site,US,M
2025,Senior-level,FT,Data Scientist,59795,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,59995,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,60000,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,60000,USD,US,Fully Remote,US,M
2025,Intermediate,FT,Data Scientist,60000,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,60000,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,60000,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,60000,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,60000,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,60000,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,60400,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,60400,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,60400,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,60400,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,60431,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,60431,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,60500,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,60840,USD,US,Fully Remote,US,M
2025,Intermediate,FT,Data Scientist,60900,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,61000,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,61000,USD,US,On site,US,M
2025,Senior-level,FT,Data Scientist,61245,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,61900,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,62000,USD,US,On site,US,M
2025,Junior,FT,Data Scientist,62000,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,62300,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,62800,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,62800,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,62800,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,62800,USD,US,Fully Remote,US,M
2025,Intermediate,FT,Data Scientist,62800,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,63000,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,63600,USD,US,Fully Remote,US,M
2025,Intermediate,FT,Data Scientist,63648,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,63882,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,64000,USD,US,Fully Remote,US,M
2025,Intermediate,FT,Data Scientist,64000,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,64000,USD,US,On site,US,M
2025,Senior-level,FT,Data Scientist,64000,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,64000,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,64500,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,64600,USD,US,On site,US,M
2025,Intermediate,FT,Data Scientist,64890,USD,US,On site,US,M
